date,description,title
Lunes 19 de diciembre de 2016,"(...)  productores nuevos; perdimos 27.000 empleos en este último año y medio, pero el año entrante volveremos a contratar , de petróleo, geólogos, geofísicos (...)",'Ecopetrol ya está saliendo del infierno': Juan Carlos Echeverry
Lunes 19 de diciembre de 2016,"(...)  Colombiana de , (SCI)",Los reparos del Gobierno a la Sociedad Colombiana de Ingenieros
Martes 29 de noviembre de 2016,"(...) , Carmen Sofía Motta, gerente de la ESE Villavicencio, dijo que la administración lo hará porque está en el Plan de Desarrollo. Por el momento un , evaluará (...)",La salud en Villavicencio no sale de 'cuidados intensivos'
Lunes 28 de noviembre de 2016,"(...) , un , electrónico de 32 años que asegura que la tecnología es una herramienta ideal para el sector de la salud.",Colombiano crea lentes de contacto inteligentes 
Lunes 28 de noviembre de 2016,"(...)  para personas con conocimientos técnicos, tecnológicos o profesionales: arquitecto, dietista nutricionista, epidemiólogo, , mecánico, químico farmacéutica (...)",Hay 203 vacantes en oficios diversos en el Valle
Domingo 27 de noviembre de 2016,"(...)  molestia, de la que es consciente y lo ha llevado a negarse a viajar al exterior en más de una oportunidad.",¿Se ha sentido como delincuente mientras hace fila en el aeropuerto?
Lunes 12 de diciembre de 2016,"(...) . Muchos piensan que soy antropólogo, ,, abogado y hasta pastor religioso, pero nunca que soy arquitecto.",La clave es adaptarse / Opinión
Lunes 12 de diciembre de 2016,(...)  con el esquema vial de dobles calzadas previsto para el corredor Bogotá-Buenaventura.,Los pecados del túnel de La Línea
Domingo 18 de diciembre de 2016,"(...) , , químico y economista, políglota y exconcejal de Barranquilla –además de director y presentador de un programa de entrevistas con personajes de la actualidad por Telecaribe (...)","Mike Schmulson, 'papá' del béisbol por televisión"
Sábado 17 de diciembre de 2016,"(...)  millones de dólares, nunca se ejecutó.",Este es el 'rey' de los contratos del escándalo Reficar
Sábado 17 de diciembre de 2016,"(...)  relata que en el último verano, gracias a los pastos que ahora siembran en equipo, el ganado nunca sintió hambre.",La leche de Villapinzón sabe a trabajo en equipo y a mejores ingresos
Viernes 16 de diciembre de 2016,(...) ,Premian al mejor emprendedor colombiano del sector tecnológico en 2016
Viernes  2 de diciembre de 2016,(...)  dichos trabajos.,Más de 500 trabajadores quedarían sin empleo en el túnel de La Línea
Sábado 26 de noviembre de 2016,"(...)  más de un millón de pesos. Es de mis consentidos”, dice Juan Carlos Giraldo, , mecánico, y aficionado a la salsa desde hace 15 años y quien tiene en su haber (...)",Coleccionistas distritales de salsa se dan cita en el Tunal
Viernes 25 de noviembre de 2016,"(...)  de la dirección de obras de la ETCAR y el asesor de esta entidad, así como por el experto en estructuras y patrimonio, el , Jorge Rocha Rodríguez, quien recomendó (...)",A 'costura' las murallas de Cartagena
Viernes 25 de noviembre de 2016,"(...)  la diligencia tras una solicitud del , calculista Jorge Aristizábal, quien pidió que le nombraran un defensor público tras presuntos quebrantos de salud de su abogado defensor (...)",Por sexta ocasión aplazan juicio por fallecido en el Space
Jueves 24 de noviembre de 2016,"(...)  se había reprogramado para realizarse este jueves y el viernes. Sin embargo, el Juzgado Primero Penal del Circuito de Medellín tuvo que aplazar la diligencia ",Por sexta vez aplazan audiencia contra CDO por caso Space
Miércoles 23 de noviembre de 2016,"(...)  de , Electricistas y Electrónicos (Ieee), Subsección Caribe y el colegio Alexander Von Humboldt.",Prueban energía solar en colegio de Barranquilla
Viernes  2 de diciembre de 2016,"(...)  se imputará cargos por el homicidio del profesor Alfredo Correa de Andreis, 17 de septiembre de 2004, en Barranquilla (Atlántico). Correa era , agrónomo y sociólogo (...)",Imputación de cargos a 725 exparamilitares por 22.000 delitos
Jueves  1 de diciembre de 2016,"(...) , encargado de las obras del túnel de La Línea, el presidente de la Veeduría del túnel de La Línea y de la Sociedad de , del Quindío, Uriel Orjuela dijo (...)",Veeduría del Quindío había advertido retrasos en el túnel 
Jueves  1 de diciembre de 2016,"(...)  de Barranquilla (Atlántico). Correa de Andreis era , agrónomo y sociólogo, enseñaba en las Universidades del Norte y Simón Bolívar.,- Masacre de la cabecera (...)",Imputarán cargos a 725 exparamilitares por más de 22.000 delitos
Jueves  1 de diciembre de 2016,"(...) ”.,Rojas es , Civil de la Universidad Javeriana de Bogotá, con especialización en Desarrollo Gerencial de la Universidad Autónoma de Manizales, experto en Gestión (...)","El ministro de Transporte, Jorge Rojas Giraldo fue hospitalizado"
Jueves  1 de diciembre de 2016,"(...) ”, le dijo a El TIEMPO el , de aviación Guillermo Elkin Casalins.",Audios de pilotos y torre de control dan claves del desastre aéreo
Jueves  1 de diciembre de 2016,"(...)  en la investigación de las cajas negras. “El , aeronáutico Julián Echeverri, del grupo de investigación de accidentes, logró localizar las dos cajas, que entraron a cadena (...)",'Podemos afirmar que la aeronave no tenía combustible'
Jueves  1 de diciembre de 2016,"(...)  la importancia en la investigación de las cajas negras. “El , aeronáutico Julián Echeverri, del grupo de investigación de accidentes, logró localizar las dos cajas (...)",'Avión accidentado no tenía combustible': Aeronáutica Civil
Viernes 16 de diciembre de 2016,"(...)  años a Colombia, Schmulson se radicó con su familia desde niño en Barranquilla, ciudad donde fue concejal y se graduó de , químico.",Falleció el periodista colombiano Mike Schmulson
Miércoles 23 de noviembre de 2016,(...) ,"Las pasiones, delirios y pecados de Laura Restrepo"
Miércoles 23 de noviembre de 2016,"(...)  de ser necesario. Asimismo, el Ejército Nacional, con el batallón de , militares, se mantiene activo para cualquier eventualidad que se pueda presentar”, agregó (...)","Se mantiene alerta en San Andrés, pese a que Otto se vuelve tormenta"
Sábado 10 de diciembre de 2016,(...)  horas de trabajo.,'Reficar es el mayor desfalco en la historia de Colombia'
Sábado 10 de diciembre de 2016,(...)  de la Cuarta Brigada dijo que en total ,Inicia el plan de seguridad para la temporada vacacional
Martes 29 de noviembre de 2016,"(...) .,Eran siete hermanas que, con sus maridos y novios, aglutinaban la vida familiar. Así eran mis tías: la mayor era María, casada con un , de ideas liberales moderadas; Teresa, casada (...)",Hasta en las peores guerras
Martes 29 de noviembre de 2016,"(...) , el , Rafal Dalewski.,""El pasado verano hicimos la prueba y ya tenemos la primera semilla obtenida a través de esta polinización artificial, por lo que queda demostrado (...)",Científicos crean primera abeja robótica que poliniza como una real 
Viernes 16 de diciembre de 2016,(...)  mayor de 60 años será de 2.000 millones.,Estudiantes del país crean un simulador de la tercera edad
Jueves 15 de diciembre de 2016,"(...) , de esforzarse, estudiar y sacrificarse para lograr esos sueños de ser médicos, , de sistemas o futbolistas, como James Rodríguez, quien es un ídolo en la capital del Tolima (...)",Fútbol para la vida
Jueves 15 de diciembre de 2016,"(...)  al , Víctor Manuel Morales Aragón y convocó el inicio de la diligencia.",Atlántico y Bolívar van por acuerdo de límites
Lunes 21 de noviembre de 2016,(...) .,Crean casco de papel reciclable para bicicleta que fue premiado 
Lunes 21 de noviembre de 2016,"(...)  en las obras terminadas y el correcto funcionamiento del deprimido y las vías conexas”, agregó.","Pese a nuevo plan, sigue inconformidad por obra de Los Balsos "
Lunes 21 de noviembre de 2016,"(...)  lo desea, podrá cambiar, mientras se encuentra en ascenso, a gasolina.",Crean inyector que alterna el combustible
Lunes 21 de noviembre de 2016,"(...)  de ,, desplazados por los despidos masivos que el gobierno de Hugo Chávez hizo en su momento en PDVSA.",Editorial: Hay que cambiar de actitud
Lunes 21 de noviembre de 2016,"(...) , en la localidad de Usaquén.",Ellos rediseñaron bicis para cargar el mercado o pasear los perros
Lunes 21 de noviembre de 2016,(...)  rápidamente estos temas.,"Facebook pide a líderes mundiales mantener ""conectado"" al mundo"
Sábado 10 de diciembre de 2016,"(...)  está prohibida- y luego tuvieron que huir, explica Matthias Linke. Otros conocieron a cristianos durante su periplo hacia Europa. Como Saeed, , aeronáutico afgano de 31 años (...)",Refugiados musulmanes se están convirtiendo al cristianismo
Sábado 10 de diciembre de 2016,(...) ,Liberan a dos profesionales samarios secuestrados en el sur del Cesar
Viernes  9 de diciembre de 2016,"(...)  para que podamos hablar el lenguaje no solo de diseñadores, sino también hablar con ,, personas de mercadeo, gracias al núcleo común que maneja”, dijo el diseñador.",Caleño ganó premio con la lámpara del agujero negro
Viernes  9 de diciembre de 2016,(...) ,Policía busca a dos profesionales desaparecidos en el sur del Cesar
Jueves 15 de diciembre de 2016,"(...)  Estanislao, Soplaviento, San Cristóbal y Calamar (por el departamento de Bolívar).","Atlántico y Bolívar, por el acuerdo de sus límites "
Jueves 15 de diciembre de 2016,"(...)  proyectos de diferente especialidad. Además, nos forma para que podamos hablar el lenguaje no solo de diseñadores, sino también hablar con ,, personas de mercadeo, gracias (...)",Caleño ganó premio con la lámpara del agujero negro
Jueves 15 de diciembre de 2016,"(...)  y todo lo que este se llevó. ,”.","'No solo aprendí a ser mejor campesino, sino mejor persona'"
Miércoles 14 de diciembre de 2016,(...)  de envergadura y tenía un peso bruto de 330 toneladas.,El día que llegó el avión 'más poderoso': el jumbo
Miércoles 14 de diciembre de 2016,"(...)  fue el conjunto de abogados, doctores e , que jugaban en el club, porque la necesidad de ganar dinero lo obligó a abandonar el colegio antes de finalizar sexto grado. Ellos le ayudaron a dar (...)","""El Pato"" Cabrera: de caddie a rey del golf en América Latina"
Miércoles 14 de diciembre de 2016,"(...)  y con la experiencia para este tipo de labores, entre ellos montadores e ,, los cuales han venido trabajando por jornadas de 24 horas diarias para garantizar su entrega lo más pronto posible (...)",Ultimato a concesionario del Sisga
Sábado 19 de noviembre de 2016,"(...)  de dióxido de carbono.,Mauricio Salazar, , forestal del Fondo Acción, organización que acompaña el trabajo de Cocomasur, establece una analogía para entender este (...)",Las lecciones de Acandí para conservar las selvas del Chocó
