date,link,description,title
Viernes 16 de diciembre de 2016,http://www.eltiempo.com/colombia/barranquilla/fallecio-el-periodista-colombiano-mike-schmulson/16774267,"(...)  años a Colombia, Schmulson se radicó con su familia desde niño en Barranquilla, ciudad donde fue concejal y se graduó de , químico.",Falleció el periodista colombiano Mike Schmulson
Martes 13 de diciembre de 2016,http://www.eltiempo.com/economia/sectores/perfil-de-juan-jose-echavarria-nuevo-director-del-banco-de-la-republica/16771660,"(...)  del ,Banco de la República se decidió por el del , Juan José Echavarría para relevar en su cargo",'Hay que hacer lo que toque hacer frente a inflación': Juan Echavarría
Martes 13 de diciembre de 2016,http://www.eltiempo.com/colombia/medellin/el-exoesqueleto-creado-por-un-colombiano/16771546,(...) ,Un colombiano quiere poner a 'caminar' al profe Luis Fernando Montoya
Martes 29 de noviembre de 2016,http://www.eltiempo.com/colombia/otras-ciudades/reanudan-servicio-de-agua-en-pereira/16761406,(...)  ,Las lluvias dejaron sin servicio de agua a Pereira
Martes 29 de noviembre de 2016,http://www.eltiempo.com/colombia/llano-7-dias/la-salud-en-villavicencio/16761147,"(...) , Carmen Sofía Motta, gerente de la ESE Villavicencio, dijo que la administración lo hará porque está en el Plan de Desarrollo. Por el momento un , evaluará (...)",La salud en Villavicencio no sale de 'cuidados intensivos'
Sábado 10 de diciembre de 2016,http://www.eltiempo.com/politica/justicia/entrevista-al-contralor-edgardo-maya-sobre-desfalco-de-reficar/16770231,(...)  horas de trabajo.,'Reficar es el mayor desfalco en la historia de Colombia'
Martes  6 de diciembre de 2016,http://www.eltiempo.com/bogota/empresa-que-hara-estudios-y-disenos-de-transmilenio-por-la-septima/16767103,(...) ,Ingetec S.A. hará estudios y diseños de TransMilenio por la 7.ª
Martes  6 de diciembre de 2016,http://www.eltiempo.com/colombia/otras-ciudades/subsidios-y-cultivos-ilicitos-son-el-coco-para-los-caficultores/16767038,"(...)  la cosecha”, declaró.",Subsidios y cultivos ilícitos son el 'coco' para los caficultores
Jueves  1 de diciembre de 2016,http://www.eltiempo.com/colombia/medellin/avion-donde-viajaba-el-chapecoense-no-tenia-combustible/16763120,"(...)  la importancia en la investigación de las cajas negras. “El , aeronáutico Julián Echeverri, del grupo de investigación de accidentes, logró localizar las dos cajas (...)",'Avión accidentado no tenía combustible': Aeronáutica Civil
Martes 29 de noviembre de 2016,http://www.eltiempo.com/opinion/columnistas/hasta-en-las-peores-guerras-carlos-castillo-cardona-columna-el-tiempo/16762038,"(...) .,Eran siete hermanas que, con sus maridos y novios, aglutinaban la vida familiar. Así eran mis tías: la mayor era María, casada con un , de ideas liberales moderadas; Teresa, casada (...)",Hasta en las peores guerras
Viernes 16 de diciembre de 2016,http://www.eltiempo.com/estilo-de-vida/ciencia/simulador-de-la-tercera-edad-de-estudiantes-de-la-upb-medellin/16774070,(...)  mayor de 60 años será de 2.000 millones.,Estudiantes del país crean un simulador de la tercera edad
Jueves 15 de diciembre de 2016,http://www.eltiempo.com/multimedia/especiales/futbol-para-la-vida/16773910,"(...) , de esforzarse, estudiar y sacrificarse para lograr esos sueños de ser médicos, , de sistemas o futbolistas, como James Rodríguez, quien es un ídolo en la capital del Tolima (...)",Fútbol para la vida
Jueves 15 de diciembre de 2016,http://www.eltiempo.com/colombia/otras-ciudades/atlantico-y-bolivar-van-por-acuerdo-de-limites/16773700,"(...)  al , Víctor Manuel Morales Aragón y convocó el inicio de la diligencia.",Atlántico y Bolívar van por acuerdo de límites
Miércoles 23 de noviembre de 2016,http://www.eltiempo.com/bocas/laura-restrepo-en-entrevista-con-revista-bocas-/16756893,(...) ,"Las pasiones, delirios y pecados de Laura Restrepo"
Lunes 12 de diciembre de 2016,http://www.eltiempo.com/economia/sectores/nuevo-gerente-banco-de-la-republica-colombia/16771145,"(...)  Darío Uribe Escobar, para el periodo de cuatro años que comienza el 4 de enero de 2017.",Juan José Echavarría es el nuevo gerente del Banco de la República
Lunes 12 de diciembre de 2016,http://www.eltiempo.com/estilo-de-vida/ciencia/columna-de-innovandes-sobre-/16770915,"(...) . Muchos piensan que soy antropólogo, ,, abogado y hasta pastor religioso, pero nunca que soy arquitecto.",La clave es adaptarse / Opinión
Lunes 12 de diciembre de 2016,http://www.eltiempo.com/economia/sectores/historia-de-la-construccion-del-tunel-de-la-linea/16770822,(...)  con el esquema vial de dobles calzadas previsto para el corredor Bogotá-Buenaventura.,Los pecados del túnel de La Línea
Lunes 28 de noviembre de 2016,http://www.eltiempo.com/tecnosfera/novedades-tecnologia/colombiano-crea-lentes-de-contacto-inteligentes/16760958,"(...) , un , electrónico de 32 años que asegura que la tecnología es una herramienta ideal para el sector de la salud.",Colombiano crea lentes de contacto inteligentes 
Lunes 28 de noviembre de 2016,http://www.eltiempo.com/colombia/cali/vacantes-en-oficios-diversos-en-el-valle/16760309,"(...)  para personas con conocimientos técnicos, tecnológicos o profesionales: arquitecto, dietista nutricionista, epidemiólogo, , mecánico, químico farmacéutica (...)",Hay 203 vacantes en oficios diversos en el Valle
Domingo 27 de noviembre de 2016,http://www.eltiempo.com/estilo-de-vida/salud/que-es-el-sindrome-del-delincuente/16759719,"(...)  molestia, de la que es consciente y lo ha llevado a negarse a viajar al exterior en más de una oportunidad.",¿Se ha sentido como delincuente mientras hace fila en el aeropuerto?
Sábado 26 de noviembre de 2016,http://www.eltiempo.com/bogota/coleccionistas-distritales-de-salsa-en-el-barrio-tunal/16759369,"(...)  más de un millón de pesos. Es de mis consentidos”, dice Juan Carlos Giraldo, , mecánico, y aficionado a la salsa desde hace 15 años y quien tiene en su haber (...)",Coleccionistas distritales de salsa se dan cita en el Tunal
Viernes 25 de noviembre de 2016,http://www.eltiempo.com/colombia/otras-ciudades/a-costura-las-murallas-de-cartagena/16759026,"(...)  de la dirección de obras de la ETCAR y el asesor de esta entidad, así como por el experto en estructuras y patrimonio, el , Jorge Rocha Rodríguez, quien recomendó (...)",A 'costura' las murallas de Cartagena
Sábado 10 de diciembre de 2016,http://www.eltiempo.com/colombia/medellin/plan-de-seguridad-para-antioquia/16770065,(...)  de la Cuarta Brigada dijo que en total ,Inicia el plan de seguridad para la temporada vacacional
Sábado 10 de diciembre de 2016,http://www.eltiempo.com/mundo/europa/refugiados-musulmanes-se-convierten-al-cristianismo-en-alemania/16769938,"(...)  está prohibida- y luego tuvieron que huir, explica Matthias Linke. Otros conocieron a cristianos durante su periplo hacia Europa. Como Saeed, , aeronáutico afgano de 31 años (...)",Refugiados musulmanes se están convirtiendo al cristianismo
Sábado 10 de diciembre de 2016,http://www.eltiempo.com/colombia/otras-ciudades/liberacion-de-secuestrados-en-el-sur-del-cesar/16770052,(...) ,Liberan a dos profesionales samarios secuestrados en el sur del Cesar
Lunes  5 de diciembre de 2016,http://www.eltiempo.com/opinion/cartas-del-lector/foro-del-lector-opinion-el-tiempo-6-de-diciembre-de-2016/16766340,(...) . No critiquemos por criticar. Dejemos que avance el desarrollo de Bogotá.,No se ve luz al final del túnel
Lunes  5 de diciembre de 2016,http://www.eltiempo.com/colombia/cali/protestas-en-el-puente-juanchito/16765831,(...)  una de las denunciantes.,Protesta genera trancón en la vía Cali - Candelaria
Lunes  5 de diciembre de 2016,http://www.eltiempo.com/opinion/editorial/luz-al-final-del-tunel-editorial-el-tiempo/16765598,"(...)  cuenta con más abogados que ,, una manera de insinuar que se busca reclamar por la vía legal lo que no se hizo, echándole culpa a imprevistos como el paro camionero pasado (...)",Editorial: ¿Luz al final del túnel?
